favourite_count,retweet_account,time,tweet
22121,4952,2019-03-20 14:20:35,"And here are some ways to help cyclone victims in Mozambique, Malawi, and Zimbabwe: https://t.co/if8HZBtWBH"
47978,10773,2019-03-20 14:19:59,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world ca https://t.co/JQuv5mQHnq
237057,23276,2019-03-17 13:56:29,"In 2011, I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandf https://t.co/Po21svTQs8"
665138,111203,2019-03-15 13:15:44,Michelle and I send our condolences to the people of New Zealand. We grieve with you and the Muslim community. All https://t.co/lmpsr9lLSr
146589,13078,2019-03-14 20:36:39,.@MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week. Our https://t.co/aD4gRnMEL8
250728,21821,2019-03-12 18:48:18,"What a great moment. Happy 110th, Virginia. https://t.co/FuNZV3RRV4"
371421,35227,2019-03-11 01:02:11,Michelle and I send our deepest sympathies to all who knew the victims of todays plane crash in Ethiopia.
130170,10874,2019-03-08 16:03:23,The Crew Dragons been on quite a ride since I last saw itcongrats to @NASA and @SpaceX on a successful return! We https://t.co/eJVhuf5KTQ
40289,3799,2019-03-08 13:34:30,"Preethi, Alice, and Sefora are just three of many @ObamaFoundation leaders who remind us what International Womens https://t.co/z319lmm1iP"
39552,3948,2019-03-08 13:31:52,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training an https://t.co/qTd90Kw7ev
24804,2865,2019-03-08 13:31:15,".@BarbeAlice is helping refugees resettle into welcoming communities in France, offering them job training and lang https://t.co/CoeFcGSJ7d"
26419,3117,2019-03-08 13:30:31,.@preethiherman is helping women unleash their power to change their societies. As head of the https://t.co/1anUW1vugu
501172,108158,2019-03-08 13:29:54,"On International Womens Day, Im reflecting on the future we all want for our daughters: one where they can live o https://t.co/oJiJ7foBZy"
98864,21459,2019-02-21 19:01:39,Its up to all of us as citizens to make sure that the rules of democracy are faireverywherebecause the next deca https://t.co/Tpv5NoYazl
313695,32936,2019-02-21 04:41:44,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.
106990,11272,2019-02-20 00:02:24,Im about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color https://t.co/iAL5ZRVOUv
161127,23351,2019-02-16 20:40:27,Ive always loved basketball because its about building a team thats equal to more than the sum of its parts. Gla https://t.co/QZ2PTwFPmq
422127,38605,2019-02-14 18:32:00,"Happy Valentines Day to the extraordinarily smart, beautiful, funny, one and only @MichelleObama. Its true; she d https://t.co/STEbQ40XQ5"
485615,75110,2019-02-14 15:18:47,"In the year since their friends were killed, the students of Parkland refused to settle for the way things are and https://t.co/HLvyhgqiup"
299126,35720,2019-02-14 03:10:37,"Dont be sad its over, be proud it taught us so much. Congrats to all the men and women of @NASA on a @MarsRovers https://t.co/lFxXcgiBqS"
129247,12432,2019-02-13 01:18:20,"Happy 85th birthday to @RealBillRussell - the greatest champion in American sports, and a lifelong warrior for justice."
64896,10345,2019-02-08 04:04:14,My statement on the passing of former Congressman John Dingell: https://t.co/gjBYHHImzB
242429,29256,2019-02-08 04:03:33,We lost two great Americans today  Frank Robinson and John Dingell  citizens who inspired me and so many others b https://t.co/EcjpeHhzgf
251006,40515,2019-02-01 16:08:02,"As we celebrate Black History Month and Jackie Robinsons 100th birthday, we celebrate the life of all whose courag https://t.co/2JUfORxB3X"
90338,11879,2019-01-25 18:18:52,The @ObamaFoundation is connecting people from around the world so they can form partnerships just like this. I am https://t.co/dV9rIvzy8L
771758,163459,2019-01-21 16:14:42,"Ive always drawn inspiration from what Dr. King called lifes most persistent and urgent question: ""What are you d https://t.co/Cxspr7qtwG"
1418950,184568,2019-01-17 15:02:10,"I knew it way back then and Im absolutely convinced of it today  youre one of a kind, @MichelleObama. Happy Birt https://t.co/VLwQtcydJm"
838856,111897,2019-01-01 16:19:34,"In 2018 people stepped up and showed up like never before. Keep it up in 2019. Weve got a lot of work to do, and I https://t.co/7XRYXZbFTu"
93123,11623,2018-12-29 16:15:20,"I hope you find inspiration in the stories of Dejah, Moussa, Sandor, Hong and Jonny. Their journeys began with a de https://t.co/nfkq6OHmuc"
113960,19733,2018-12-29 16:15:20,"Leaders like Jonny Boucher, a Chicago native who, after losing too many friends and family to suicide, started a co https://t.co/lKmjQt4MNA"
29327,3817,2018-12-29 16:15:20,"Leaders like Hong Hoang, who mobilized a youth-led movement to create a greener world after becoming the first Viet https://t.co/gDZ1xNFqhP"
27282,3865,2018-12-29 16:15:19,"Leaders like Moussa Kondo and Sandor Lederer, who are each doing their part to fight corruption in their native cou https://t.co/XfRJsPyEBG"
35383,5204,2018-12-29 16:15:18,"Leaders like Dejah Powell, who started an organization to bring health and wellness resources to communities on the https://t.co/bHnnttq0bZ"
390959,84729,2018-12-29 16:15:18,"As the year winds down and we look toward 2019, Im asking you to make a commitment: find something you want to cha https://t.co/wg2DdYAJWs"
286945,48382,2018-12-28 14:34:43,"As 2018 draws to a close, Im continuing the tradition of sharing my year-end lists. It gives me a moment to reflec https://t.co/rSD2tphr3l"
935154,93465,2018-12-25 14:14:37,Enjoy the holiday season with the ones you love. Michelle and I wish you a very Merry Christmas! https://t.co/LKLqlYfFUw
205198,33452,2018-12-20 20:55:31,Theres no better time than the holidays to give back to your community. Yesterday I got to do just that at https://t.co/gGLJomf3ua
402315,66615,2018-12-19 21:48:12,"Merry Christmas and happy holidays to the extraordinary kids, families, and staff at Childrens National. And thank https://t.co/zhMp8GSpfO"
79336,23680,2018-12-15 21:15:39,Today is the last day of open enrollment. That means its the deadline to make sure you and the people you love hav https://t.co/MMZXvDdvaU
155641,33464,2018-12-15 00:58:26,"Joe is right. Head to https://t.co/SS87NTsgJt before tomorrows deadline. And nice bracelet, by the way. https://t.co/NFy3LxZe3f"
216121,44360,2018-12-13 04:15:34,"As Bobby Kennedy taught us, the thing about hope is that it travels through space *and* time, first splashing again https://t.co/EsieA1Ry5F"
350647,138116,2018-12-10 15:40:51,No jump shots. No ferns. No memes. Not this time. Im going to give it to you straight: If you need health insuranc https://t.co/rThqk0VTXA
414135,52333,2018-12-02 22:09:40,"Happy Hanukkah! Over these eight nights, we draw inspiration from light that can overpower any darkness, and recomm https://t.co/IxuDfVzDLf"
373995,68537,2018-12-01 05:36:23,"America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today, they https://t.co/2Gn7sGTG90"
244004,40970,2018-11-21 18:57:58,"I am grateful for the next generation of leaders -- the young people who are tolerant, creative, idealistic and doi https://t.co/Mnydz2BMZX"
140370,20654,2018-11-21 01:37:14,Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me https://t.co/noTTWJDrlv
92705,14643,2018-11-18 23:32:03,"When someone shares their story, we see the world through their eyes. Im looking forward to hearing a few from lea https://t.co/4ZM6S85yuU"
92639,16696,2018-11-15 16:43:52,"Our future depends on all our young people, including our boys and young men of color, being able to achieve their https://t.co/TaRXBwtm9v"
540944,66193,2018-11-13 18:37:35,"Of course, @MichelleObamas my wife, so Im a little biased here. But she also happens to be brilliant, funny, wise https://t.co/bhzH5QSA0x"
294629,55566,2018-11-12 03:20:49,"Michelle and I are heartbroken for everybody whos lost so much in California, and grateful for the heroism of the https://t.co/4sNwd1l283"
676870,114432,2018-11-11 16:14:40,To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your ser https://t.co/ypSU5ocwN2
